DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1945-03-21 11:58:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4277_output_1945-03-21,,NEUBURG,364,799.5
1945-03-24 12:10:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4277_output_1945-03-24,,NEUBURG,404,744.75
1944-08-04 15:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3838_output_1944-08-04,Airdrome,Grosseto,28,672.0
1944-02-21 13:59:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4140_output_1944-02-21,,,344,660.0
1944-08-23 12:26:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3632_output_1944-08-23,Nanet Neu Leng Bach AD,Markersdorf,159,659.0
1944-05-02 06:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3741_output_1944-05-02,,,193,600.0
1944-05-24 10:29:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3640_output_1944-05-24,WOLLERSDORF AD,WIENER NEUSTADT,256,571.25
1945-02-16 13:06:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4301_output_1945-02-16,Obertraubling AD,Regensburg,259,568.0
1944-09-12 13:33:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4237_output_1944-09-12,Airdrome,Lechfeld,263,501.0
1944-09-20 12:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3691_output_1944-09-20,Airdrome,Malacky,57,474.0
1944-06-17 20:22:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3985_output_1944-06-17,Airdrome,Laval,228,464.0
1944-04-13 12:35:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3788_output_1944-04-13,Veces AD,Budapest,65,459.0
1944-05-29 10:43:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4048_output_1944-05-29,Airdrome,Salon,149,456.0
1944-03-19 13:38:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3629_output_1944-03-19,Airdrome,Klagenfurt,156,442.6
1944-09-24 12:15:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3706_output_1944-09-24,Tatoi AD,Athens,117,432.0
1944-08-24 12:36:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3692_output_1944-08-24,AIRDROME,PARDUBICE,183,417.0
1944-02-05 18:45:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4082_output_1944-02-05,,,149,416.9
1945-04-10 15:26:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4268_output_1945-04-10,AIRDROME,NEURUPPIN,156,415.5
1945-03-24 09:08:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4293_output_1945-03-24,PLANTLUNNE AIRDROME,,222,402.0
1944-08-01 15:15:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3926_output_1944-08-01,,,144,375.0
1945-03-24 08:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4372_output_1945-03-24,Air Field,Ziegenhain,791,334.125
1944-08-20 10:17:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3793_output_1944-08-20,AD,Hajdu Boszormeny,49,334.0
1943-08-16 09:35:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4024_output_1943-08-16,LE BOURGET AIRDROME,PARIS,132,332.0
1945-03-24 17:30:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3735_output_1945-03-24,AIRDROME,ENSCHEDE,161,318.0
1944-06-07 19:41:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3977_output_1944-06-07,BASTARD AIRDROME,BASTARD,417,316.0
1944-04-08 13:49:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4295_output_1944-04-08,AIRDROME,QUAKENBRÜCK,166,312.0
1944-07-26 11:28:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3623_output_1944-07-26,AIRDROME,BAD VOSLAU,25,303.0
1945-03-24 12:15:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4259_output_1945-03-24,REIM AD,MUNICH,132,302.0
1943-12-20 12:37:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3705_output_1943-12-20,Eleusis AD,Eleusis,99,297.0
1944-05-27 14:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4013_output_1944-05-27,Fre Jorgues AD,Montpellier,204,292.95
1944-06-12 09:20:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3996_output_1944-06-12,Vendeville AD,Lille,243,290.36
1944-07-20 11:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4252_output_1944-07-20,Airdrome,Memmingen,126,280.38
1944-01-20 13:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3851_output_1944-01-20,Centocelle AD,Rome,74,275.4
1944-08-12 10:58:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4029_output_1944-08-12,LA PERTHE AIRDROME,,105,269.7
