DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-07-05 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0726_output_1944-07-05,BEC DAMBES OIL STORAGE N REFINERY,,104,376.0
1945-02-07 15:17:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0746_output_1945-02-07,,,400,376.0
1945-02-04 20:27:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0767_output_1945-02-04,,,438,370.0
1944-11-02 13:06:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0744_output_1944-11-02,Benzol Plant Gutehoffnung,Osterfeld,121,364.0
1945-02-15 20:48:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0696_output_1945-02-15,Rositz Oil Refinery,Rositz,209,362.0
1945-03-27 13:59:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0798_output_1945-03-27,FUEL TANKS,HAMM,360,343.0
1945-03-21 03:55:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0793_output_1945-03-21,EUROPAI SCHE TANKLAGER,HAMBURG,518,324.0
1945-03-24 16:39:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0567_output_1945-03-24,,,258,316.0
1945-01-15 14:59:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0631_output_1945-01-15,LANGENDREER BENZOL PLANT,,185,315.0
1945-03-07 15:29:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0763_output_1945-03-07,,,153,300.0
1944-09-20 09:43:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0706_output_1944-09-20,HOLTEN OIL REF,STERKRADE,2,291.0
1945-03-15 15:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0631_output_1945-03-15,LANGENDREER BENZOL PLANT,,160,281.0
1944-08-07 17:56:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0522_output_1944-08-07,Pauillac Oil Storage,Bordeaux,180,259.5
1944-08-08 17:56:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0522_output_1944-08-08,Pauillac Oil Storage,Bordeaux,179,254.5
1944-10-15 10:06:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0745_output_1944-10-15,Wanne Eickel Syn Oil Krupp. Trbstfwrk,Wanne Eickel,127,251.5
1944-08-09 07:56:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0522_output_1944-08-09,Pauillac Oil Storage,Bordeaux,178,250.0
1945-03-25 06:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0567_output_1945-03-25,,,1085,250.0
1944-09-19 00:03:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0742_output_1944-09-19,KAMEN SYN OIL PLANT,,116,232.0
1944-10-12 10:06:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0745_output_1944-10-12,Wanne Eickel Syn Oil Krupp. Trbstfwrk,Wanne Eickel,127,232.0
1943-08-15 20:03:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0521_output_1943-08-15,Bordeaux Oil Storage Tanks,Bordeaux,48,231.0
1944-11-21 20:53:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0706_output_1944-11-21,HOLTEN OIL REF,STERKRADE,410,223.0
1944-10-28 15:39:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0741_output_1944-10-28,,,227,222.0
1944-10-27 15:39:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0741_output_1944-10-27,,,227,215.0
1944-11-04 15:16:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0767_output_1944-11-04,,,296,215.0
1944-08-16 11:23:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0561_output_1944-08-16,BOHLEN SYNTHETIC OIL REFINERY,,88,207.0
1944-06-21 01:38:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0716_output_1944-06-21,OIL REF,WESSELING,236,206.0
1944-08-19 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0418_output_1944-08-19,OIL STORAGE DEPOTS,GHENT,163,201.0
1944-08-15 09:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0522_output_1944-08-15,Pauillac Oil Storage,Bordeaux,274,200.0
1944-10-07 12:32:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0561_output_1944-10-07,BOHLEN SYNTHETIC OIL REFINERY,,77,190.0
1944-10-26 15:39:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0741_output_1944-10-26,,,227,184.0
1944-06-29 09:14:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0561_output_1944-06-29,BOHLEN SYNTHETIC OIL REFINERY,,80,182.0
1944-11-14 15:39:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0599_output_1944-11-14,,,174,174.0
