DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-08-23 16:17:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5618_output_1944-08-23,RAILROAD,DOUAI,119,534.0
1943-05-19 06:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5808_output_1943-05-19,MARSHALLING YARD,TOURS,206,534.0
1944-03-26 18:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_1_IMG_4950_output_1944-03-26,MARSHALLING YARD,COURTRAI,196,530.0
1944-06-06 00:00:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5611_output_1944-06-06,,Coutances,127,523.0
1945-04-11 15:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6845_output_1945-04-11,MARSHALLING YARDS,NUREMBURG,280,522.375
1944-05-28 23:45:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5545_output_1944-05-28,Loco Depot,Angers,288,518.75
1944-11-21 19:30:00,BOX_6_BOOK_11_TRANSPORTATION__PART_3_IMG_6303_output_1944-11-21,Mittelland Canal Locks,Mittelland Canal Locks,248,516.0
1944-07-07 01:23:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6735_output_1944-07-07,RWY VAIRES CENTER,VAIRES,230,515.0
1944-05-14 00:00:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6730_output_1944-05-14,Marshalling Yard,Somain,150,507.0
1944-07-31 14:30:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5658_output_1944-07-31,Railway Junction,Joigny La Roche,273,506.0
1944-06-03 15:30:00,BOX_6_BOOK_11_TRANSPORTATION__PART_4_IMG_6732_output_1944-06-03,MARSHALLING YDS,TRAPPES,200,499.5
1944-06-14 04:09:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5584_output_1944-06-14,Track Crossing,Cambrai,301,492.0
1944-05-22 02:05:00,BOX_5_BOOK_11_TRANSPORTATION__PART_2_IMG_5740_output_1944-05-22,Les Aubrais MY,Orleans,256,490.0
