DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1945-01-14 22:41:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0653_output_1945-01-14,,,3927,2445.25,2439.25,99.75462631632757,6.0,0.24537368367242612
1944-11-02 16:04:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0741_output_1944-11-02,,,1393,2203.56,1967.5,89.28733503966309,236.06,10.712664960336909
1945-01-16 22:30:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0574_output_1945-01-16,SYN OIL PLANT,BRUX,895,2012.2,1996.7,99.22969883709372,15.5,0.7703011629062717
1944-12-06 20:37:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0653_output_1944-12-06,,,2320,1629.9299999999998,1567.1,96.14523323087495,62.83,3.854766769125055
1945-01-16 22:30:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0576_output_1945-01-16,SYN OIL PLANT,BRUX,895,1577.25,1561.75,99.0172769060073,15.5,0.9827230939927089
1945-03-15 21:07:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0671_output_1945-03-15,,,354,1076.0,1066.0,99.07063197026022,10.0,0.929368029739777
1944-11-21 18:54:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0588_output_1944-11-21,,,477,1035.0,1026.0,99.1304347826087,9.0,0.8695652173913043
1945-03-21 09:55:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0571_output_1945-03-21,,,472,731.75,707.5,96.6860266484455,24.25,3.3139733515544925
1944-06-23 00:53:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0761_output_1944-06-23,,,121,640.0,637.0,99.53125,3.0,0.46875
1944-11-20 15:06:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0739_output_1944-11-20,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,HOMBERG,334,629.75,604.75,96.03017070265979,25.0,3.9698292973402145
1944-09-13 18:42:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0587_output_1944-09-13,KLOCKNER WERKE SYN OIL,CASTROP RAUXEL,360,490.0,489.0,99.79591836734694,1.0,0.20408163265306123
1944-08-14 12:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0727_output_1944-08-14,Blaye Oil Storage Depot,Blaye,214,467.8,464.8,99.3587002992732,3.0,0.6412997007268063
1944-06-21 01:40:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0761_output_1944-06-21,,,24,413.125,411.0,99.48562783661119,2.125,0.5143721633888049
1945-03-17 12:59:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0561_output_1945-03-17,BOHLEN SYNTHETIC OIL REFINERY,,138,378.7,367.0,96.91048323210985,11.7,3.0895167678901507
1945-01-14 23:12:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0604_output_1945-01-14,GAF FUEL DEPOT,DULMEN,328,376.0,366.0,97.3404255319149,10.0,2.6595744680851063
1945-03-20 14:30:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0564_output_1945-03-20,BRABAG Oil Refinery,Bohlen,900,338.87,338.75,99.96458819016142,0.12,0.035411809838581165
1944-11-09 10:27:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0739_output_1944-11-09,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,HOMBERG,10,335.0,250.0,74.6268656716418,85.0,25.37313432835821
1945-02-21 22:05:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0688_output_1945-02-21,HYDRIERWERKE AG,POLITZ,889,304.25,104.25,34.264585045193094,200.0,65.7354149548069
1944-11-06 10:27:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0739_output_1944-11-06,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,HOMBERG,10,175.04,175.0,99.97714808043877,0.04,0.022851919561243147
1944-11-08 10:27:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0739_output_1944-11-08,GEWERK OF HIGH EXPLOSIVE BOMBO SYN OIL PLANT,HOMBERG,10,164.34,162.0,98.57612267250822,2.34,1.4238773274917853
1945-04-05 22:30:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0785_output_1945-04-05,RHENANIA OSSAG OIL,HAMBURG,350,150.798,150.0,99.47081526280189,0.798,0.5291847371981061
1941-03-14 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0626_output_1941-03-14,Nortstern Benzol Plant,Gelsenkirchen,368,147.15,142.55,96.87393815834183,4.6,3.1260618416581716
1944-06-04 15:30:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0613_output_1944-06-04,Oil Stocks and Reserves,Frankfurt,34,108.16,106.0,98.00295857988166,2.16,1.9970414201183433
1941-08-01 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0750_output_1941-08-01,Fuel Installations,Vlaardingen,10,106.632,106.0,99.40730737489683,0.632,0.5926926251031586
1941-10-06 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0652_output_1941-10-06,SYN Oil Plant,Merseburg,13,104.12,103.0,98.92431809450633,1.12,1.0756819054936613
1941-08-30 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0750_output_1941-08-30,Fuel Installations,Vlaardingen,1,100.016,100.0,99.98400255959045,0.016,0.015997440409534474
1941-09-02 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0750_output_1941-09-02,Fuel Installations,Vlaardingen,3,100.016,100.0,99.98400255959045,0.016,0.015997440409534474
1945-01-20 00:30:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0707_output_1945-01-20,,,34,91.0,86.0,94.5054945054945,5.0,5.4945054945054945
1945-01-15 12:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0604_output_1945-01-15,GAF FUEL DEPOT,DULMEN,177,68.0,30.0,44.11764705882353,38.0,55.88235294117647
1944-07-30 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0420_output_1944-07-30,OIL TANKS,ZEEBRUGGE,2,66.615,66.375,99.6397207836073,0.24,0.3602792163927043
1944-09-01 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0607_output_1944-09-01,W -OF ALTE BINNENHAFEN,EMDEN,2,66.42,66.3,99.8193315266486,0.12,0.18066847335140018
1944-08-06 23:45:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0587_output_1944-08-06,KLOCKNER WERKE SYN OIL,CASTROP RAUXEL,58,60.0,59.0,98.33333333333333,1.0,1.6666666666666667
1941-01-09 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0625_output_1941-01-09,Nortstern Benzol Plant,Gelsenkirchen,208,57.45,54.45,94.7780678851175,3.0,5.221932114882506
1944-10-12 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0715_output_1944-10-12,WESSELING SYN OIL REFINERY,,81,56.349999999999994,50.55,89.70718722271518,5.8,10.292812777284828
1941-03-18 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0444_output_1941-03-18,Oil Storage,Rotterdam,46,56.0,50.0,89.28571428571429,6.0,10.714285714285714
1944-06-14 02:20:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0761_output_1944-06-14,,,64,55.25,55.0,99.5475113122172,0.25,0.4524886877828055
1941-02-15 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0705_output_1941-02-15,Ruhr Benzine A G Syn Oil,Sterkrade Holten,147,50.800000000000004,46.800000000000004,92.1259842519685,4.0,7.874015748031496
1941-02-10 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0443_output_1941-02-10,Oil Storage,Rotterdam,107,47.8,38.6,80.75313807531381,9.2,19.246861924686193
1941-12-05 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0447_output_1941-12-05,Oil Storage,Rotterdam,228,42.65,1.5,3.5169988276670576,41.15,96.48300117233293
1941-05-15 14:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0758_output_1941-05-15,HS A G SYN OIL,GELSENKIRCHEN,1,37.5,1.8,4.8,35.7,95.2
1944-12-21 01:42:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0716_output_1944-12-21,OIL REF,WESSELING,49,36.8,28.8,78.26086956521739,8.0,21.73913043478261
1941-10-16 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0652_output_1941-10-16,SYN Oil Plant,Merseburg,40,36.48,36.0,98.6842105263158,0.48,1.3157894736842106
1943-03-22 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0749_output_1943-03-22,OIL REF,MAASLUIS,72,35.1,27.5,78.34757834757833,7.6,21.65242165242165
1944-08-16 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0724_output_1944-08-16,OIL DEPOT,AMBES,21,35.0,30.0,85.71428571428571,5.0,14.285714285714285
1941-01-09 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0443_output_1941-01-09,Oil Storage,Rotterdam,63,34.45,30.45,88.38896952104498,4.0,11.611030478955007
1941-06-16 00:00:00,BOX_1_BOOK_2_OILREFINERIES_IMG_0652_output_1941-06-16,SYN Oil Plant,Merseburg,39,33.72,33.0,97.86476868327402,0.72,2.135231316725979
