DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-05-02 13:08:00,BOX_7_BOOK_17_NAVAL_IMG_7938_output_1944-05-02,Spezia Shipping,Spezia,37,83.0
1944-06-11 09:04:00,BOX_7_BOOK_17_NAVAL_IMG_7908_output_1944-06-11,GIURGIU DOCKS,,38,82.0
1944-05-02 13:09:00,BOX_7_BOOK_17_NAVAL_IMG_7937_output_1944-05-02,Docks,Spezia,33,82.0
1944-07-15 09:30:00,BOX_7_BOOK_17_NAVAL_IMG_7897_output_1944-07-15,Docks,Vukovar,33,81.0
1944-05-25 12:40:00,BOX_7_BOOK_17_NAVAL_IMG_7921_output_1944-05-25,Monfalcone Dock Installations,Monfalcone,33,81.0
1944-06-22 12:10:00,BOX_7_BOOK_17_NAVAL_IMG_7927_output_1944-06-22,Harbor,Pola,38,81.0
1944-04-29 14:40:00,BOX_7_BOOK_17_NAVAL_IMG_7922_output_1944-04-29,HARBOR,ORBETELLO,32,80.0
1944-01-10 11:35:00,BOX_7_BOOK_17_NAVAL_IMG_7928_output_1944-01-10,Docks,Pola,27,80.0
1944-01-11 06:00:00,BOX_7_BOOK_17_NAVAL_IMG_7928_output_1944-01-11,Docks,Pola,53,78.75
1944-01-09 11:27:00,BOX_7_BOOK_17_NAVAL_IMG_7926_output_1944-01-09,Harbor Installations,Pola,26,78.0
1944-01-09 11:20:00,BOX_7_BOOK_17_NAVAL_IMG_7928_output_1944-01-09,Docks,Pola,26,78.0
1943-02-27 14:58:00,BOX_7_BOOK_17_NAVAL_IMG_7973_output_1943-02-27,Brest Port and Naval Facilities,Brest,73,77.0
1944-06-12 09:00:00,BOX_7_BOOK_17_NAVAL_IMG_7908_output_1944-06-12,GIURGIU DOCKS,,35,75.0
1944-03-11 11:55:00,BOX_7_BOOK_17_NAVAL_IMG_8054_output_1944-03-11,Harbor Target Install,Toulon,30,74.0
1945-02-07 13:56:00,BOX_7_BOOK_17_NAVAL_IMG_7939_output_1945-02-07,DOCK INSTALL,TRIESTE,37,73.0
1944-06-11 04:53:00,BOX_7_BOOK_17_NAVAL_IMG_7909_output_1944-06-11,Giurgiu Ferry Terminal,Giurgiu,33,72.0
1944-05-26 12:30:00,BOX_7_BOOK_17_NAVAL_IMG_7921_output_1944-05-26,Monfalcone Dock Installations,Monfalcone,29,71.0
1944-05-02 01:29:00,BOX_7_BOOK_17_NAVAL_IMG_7936_output_1944-05-02,HARBOR,SPEZIA,35,71.0
1944-06-04 12:20:00,BOX_7_BOOK_17_NAVAL_IMG_7934_output_1944-06-04,Harbor,Savona,39,70.0
1941-06-18 10:32:00,BOX_7_BOOK_17_NAVAL_IMG_8117_output_1941-06-18,HARBORS,WESERMUNDE,26,70.0
1941-05-22 13:00:00,BOX_7_BOOK_17_NAVAL_IMG_8098_output_1941-05-22,NAVAL INSTALLATIONS,KIEL,29,68.0
1943-01-27 11:40:00,BOX_7_BOOK_17_NAVAL_IMG_8125_output_1943-01-27,DOCKS,WILHELMSHAVEN,82,68.0
1944-09-10 12:01:00,BOX_7_BOOK_17_NAVAL_IMG_7941_output_1944-09-10,HARBOR,TRIESTE,80,64.867
1941-02-01 15:40:00,BOX_7_BOOK_17_NAVAL_IMG_8009_output_1941-02-01,Ships Dunkerque,Dunkerque,37,64.5
1943-02-16 10:54:00,BOX_7_BOOK_17_NAVAL_IMG_8045_output_1943-02-16,,,19,64.5
1944-04-20 13:06:00,BOX_7_BOOK_17_NAVAL_IMG_7921_output_1944-04-20,Monfalcone Dock Installations,Monfalcone,26,63.0
1943-05-14 12:03:00,BOX_7_BOOK_17_NAVAL_IMG_8098_output_1943-05-14,NAVAL INSTALLATIONS,KIEL,26,63.0
1944-07-05 13:17:00,BOX_7_BOOK_17_NAVAL_IMG_8054_output_1944-07-05,Harbor Target Install,Toulon,25,62.0
