DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1943-10-15 06:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3190_output_1943-10-15,FECKER A C FACTORY,AMSTERDAM,3,2.24,2.0,89.28571428571428,0.24,10.714285714285712
1944-08-18 00:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3262_output_1944-08-18,Messerschmitt,Augsburg,3,2.24,2.0,89.28571428571428,0.24,10.714285714285712
1941-10-20 01:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3278_output_1941-10-20,,,2,2.2,2.0,90.9090909090909,0.2,9.090909090909092
1944-10-26 12:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3267_output_1944-10-26,AC Engine Plants,Berlin,6,2.1399999999999997,1.9,88.78504672897198,0.24,11.214953271028039
1943-08-18 18:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3220_output_1943-08-18,F MAC ENG WORKS,TURIN,2,2.12,2.0,94.33962264150942,0.12,5.660377358490566
1944-08-27 00:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3222_output_1944-08-27,FIAT AIRFRAME FAC,TURIN,4,2.12,2.0,94.33962264150942,0.12,5.660377358490566
1942-09-01 13:48:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3339_output_1942-09-01,Aircraft Assembly,Leipzig,5,2.12,2.0,94.33962264150942,0.12,5.660377358490566
1943-11-23 15:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3220_output_1943-11-23,F MAC ENG WORKS,TURIN,2,2.08,1.6,76.92307692307693,0.48,23.076923076923077
1941-01-01 10:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3278_output_1941-01-01,,,2,2.08,1.6,76.92307692307693,0.48,23.076923076923077
1944-08-01 14:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3265_output_1944-08-01,A C Factories Tory,Berlin,7,2.044,1.9,92.95499021526417,0.144,7.045009784735812
1941-06-23 00:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3277_output_1941-06-23,Focke Wulfe Factory,Bremen,2,2.04,1.8,88.23529411764706,0.24,11.76470588235294
1943-04-22 01:35:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3376_output_1943-04-22,Marienehe A C Assembly,Rostock,30,2.002,2.0,99.90009990009992,0.002,0.09990009990009992
1942-08-15 15:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3215_output_1942-08-15,BREDA A W,MILAN,2,1.87,1.75,93.58288770053476,0.12,6.41711229946524
1943-09-01 09:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3220_output_1943-09-01,F MAC ENG WORKS,TURIN,2,1.7200000000000002,1.6,93.02325581395348,0.12,6.97674418604651
1943-11-23 00:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3387_output_1943-11-23,Hirth Motor,Stuttgart,2,1.48,1.0,67.56756756756756,0.48,32.432432432432435
