DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,total_area_tons,HIGH EXPLOSIVE BOMBS TONS,he_percentage,INCENDIARY BOMBS TONS,inc_percentage
1943-06-02 12:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3911_output_1943-06-02,,,11,51.0,11.0,21.568627450980394,40.0,78.43137254901961
1942-08-17 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4565_output_1942-08-17,Airdrome,Eelde,2,50.57,50.45,99.76270516116274,0.12,0.23729483883725527
1945-04-18 14:30:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4219_output_1945-04-18,Airdrome,Ingolstadt,250,45.75,5.5,12.021857923497267,40.25,87.97814207650273
1941-05-18 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4323_output_1941-05-18,Airdrome,Stade,2,41.94,0.8999999999999999,2.1459227467811157,41.04,97.85407725321889
1945-04-09 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4193_output_1945-04-09,Airdrome,Halberstadt,12,36.0,36.0,100.0,0.0,0.0
1941-06-14 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4004_output_1941-06-14,MERVILLE AIRDROME,,46,35.69,35.25,98.76716166993556,0.44,1.2328383300644439
1944-10-04 11:50:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4200_output_1944-10-04,HANDORF AIRDROME,HANDORF,15,33.8,6.8,20.118343195266274,27.0,79.88165680473374
1941-08-01 12:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4165_output_1941-08-01,Airdrome,Frankfurt am Main,2,33.0,0.0,0.0,33.0,100.0
1944-09-18 11:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4295_output_1944-09-18,AIRDROME,QUAKENBRÜCK,24,32.6,0.6,1.840490797546012,32.0,98.15950920245399
1941-09-07 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4495_output_1941-09-07,AIROROME,JAGEL,3,32.15,2.15,6.6874027993779155,30.0,93.31259720062208
1941-06-25 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3711_output_1941-06-25,Schiphol A D,Amsterdam,1,31.12,31.0,99.61439588688947,0.12,0.3856041131105398
1944-06-07 14:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3962_output_1944-06-07,Evreux Fauville AD,Evreux,68,29.05,28.75,98.96729776247848,0.3,1.0327022375215145
1941-11-14 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4596_output_1941-11-14,Airdrome,Soesterberg,11,28.0,27.0,96.42857142857143,1.0,3.571428571428571
1945-07-01 08:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4217_output_1945-07-01,Airdrome,Husum,99,26.0,20.0,76.92307692307693,6.0,23.076923076923077
1941-08-22 12:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4036_output_1941-08-22,RENNES AIRDROME,,2,24.54,24.3,99.02200488997556,0.24,0.9779951100244498
1945-04-26 23:24:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4149_output_1945-04-26,AIRFIELD,EGGEBEK NR SCHLESWIG,52,24.0,24.0,100.0,0.0,0.0
1943-06-24 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4573_output_1943-06-24,,,5,23.1,7.0,30.303030303030305,16.1,69.6969696969697
1941-03-19 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4213_output_1941-03-19,SEAPLANE STATION,HORNUM,135,23.0,21.0,91.30434782608695,2.0,8.695652173913043
1943-06-20 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4045_output_1943-06-20,AIRDROME,ROUEN,36,22.560000000000002,21.6,95.74468085106382,0.96,4.255319148936169
1941-06-17 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_4004_output_1941-06-17,MERVILLE AIRDROME,,17,22.15,21.15,95.48532731376976,1.0,4.514672686230249
1945-04-19 09:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4316_output_1945-04-19,Schleswig Airdrome,Schleswig,2,20.1,11.5,57.2139303482587,8.6,42.786069651741286
1945-04-11 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4193_output_1945-04-11,Airdrome,Halberstadt,11,20.0,2.0,10.0,18.0,90.0
1941-12-06 09:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_1_IMG_3924_output_1941-12-06,Chateaudun Airdrome,Chateaudun,4,19.240000000000002,4.0,20.790020790020787,15.24,79.2099792099792
1942-04-01 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4615_output_1942-04-01,Stavanger Airdrome,Stavanger,28,19.0,16.0,84.21052631578947,3.0,15.789473684210526
1941-06-07 00:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4118_output_1941-06-07,AERODROME,BRAMSCHE,2,17.024,2.0,11.74812030075188,15.024,88.25187969924812
1941-11-07 06:00:00,BOX_4_BOOK_10_AIRFIELDS__PART_2_IMG_4331_output_1941-11-07,AIRDROME,STRAUSBERG,1,16.6,0.6,3.614457831325301,16.0,96.38554216867469
