DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-09-07 14:15:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3186_output_1944-09-07,LISEN AC FACTORY,BRNO,125,150.2
1944-09-06 14:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3186_output_1944-09-06,LISEN AC FACTORY,BRNO,61,150.0
1944-02-25 14:02:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3307_output_1944-02-25,FACTORY AIRCRAFT,FURTH,64,150.0
1944-01-08 13:35:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3217_output_1944-01-08,NANET AC FACTORY,REGGIO EMILIA,51,147.0
1944-10-03 11:44:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3386_output_1944-10-03,SAARPLALZ GMBH A,SPEYER,60,142.0
1943-06-29 20:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3234_output_1943-06-29,AERO ENGINE,LE MANS,66,140.0
1944-02-29 13:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3390_output_1944-02-29,A C COMPONENTS WORKS,TOUTOW,110,137.5
1944-07-12 11:14:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3175_output_1944-07-12,AC ENG PLNT,WIENER NEUSTADT,8,136.4
1944-11-17 13:06:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3201_output_1944-11-17,Steyrwerk AC Plant,Maribor,109,135.5
1944-07-19 11:59:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3361_output_1944-07-19,AC COMPONENT FCTY,NEUAUBING,49,130.0
1944-09-12 13:09:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3399_output_1944-09-12,AC Factory,Wasserburg,52,128.0
1944-02-28 16:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3390_output_1944-02-28,A C COMPONENTS WORKS,TOUTOW,100,125.0
1944-02-26 14:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3307_output_1944-02-26,FACTORY AIRCRAFT,FURTH,31,120.0
1943-06-30 15:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3324_output_1943-06-30,ENGINE FLOCKE WULF,HAMBURG,6,120.0
1944-10-11 11:46:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3167_output_1944-10-11,SAUERWERKE ENG PLANT,VIENNA,39,117.0
1944-09-11 00:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3299_output_1944-09-11,BMW Aero Engines,Eisenach,47,117.0
1942-04-12 14:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3160_output_1942-04-12,WALZLAGERWERKE AERO ENG,STEYR,211,116.0
1944-03-12 13:01:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3145_output_1944-03-12,AC FACTORY,BAD VOSLAU,124,115.94
1943-09-12 11:00:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3241_output_1943-09-12,HISPANO SUIZZA AERO WORK,PARIS,30,114.0
1944-04-17 12:15:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3199_output_1944-04-17,ROGOZARSKI ZIVOJIN,BELGRADE (Zeman),49,112.0
1944-04-18 14:35:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3171_output_1944-04-18,Werk I & II AC FACTORY,WIENER NEUSTADT,31,111.6
1944-06-15 14:30:00,BOX_3_BOOK_7_AIRCRAFTPRODUCTION_IMG_3356_output_1944-06-15,Bayerische Motorenworks,Munich,103,111.1
