DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-04-29 09:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0838_output_1944-04-29,,ST MEDARD EN JALLES,165,321.5
1944-05-03 12:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0824_output_1944-05-03,EXPLOSIVE WORKS,TOULOUSE,68,296.0
1944-04-30 06:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0838_output_1944-04-30,,ST MEDARD EN JALLES,271,205.0
1941-05-01 01:15:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0824_output_1941-05-01,EXPLOSIVE WORKS,TOULOUSE,72,68.0
1944-04-28 06:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0838_output_1944-04-28,,ST MEDARD EN JALLES,42,21.3
1944-06-01 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0840_output_1944-06-01,HOCHST CHEM EXPLOVS,HOCHST,13,13.0
1944-06-30 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0830_output_1944-06-30,DYNAMIT A G,HAMBURG KRUMMEL,12,10.0
1941-08-01 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0819_output_1941-08-01,AMMUNITION PLANT,MARQUISE,20,10.0
1944-06-29 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0840_output_1944-06-29,HOCHST CHEM EXPLOVS,HOCHST,36,9.75
1944-06-28 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0840_output_1944-06-28,HOCHST CHEM EXPLOVS,HOCHST,13,9.75
1945-09-16 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0834_output_1945-09-16,Explosive Factory,Mannheim Rheina,1,8.0
1945-09-09 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0834_output_1945-09-09,Explosive Factory,Mannheim Rheina,1,4.0
1944-07-16 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0830_output_1944-07-16,DYNAMIT A G,HAMBURG KRUMMEL,7,3.6
1941-11-18 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0821_output_1941-11-18,ARSENAL,RENNES,1,3.0
1941-11-17 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0821_output_1941-11-17,ARSENAL,RENNES,1,3.0
1941-11-16 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0821_output_1941-11-16,ARSENAL,RENNES,1,3.0
1941-08-06 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0819_output_1941-08-06,AMMUNITION PLANT,MARQUISE,6,3.0
1941-08-02 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0819_output_1941-08-02,AMMUNITION PLANT,MARQUISE,10,2.5
1944-09-12 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0840_output_1944-09-12,HOCHST CHEM EXPLOVS,HOCHST,1,1.8
1945-09-02 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0834_output_1945-09-02,Explosive Factory,Mannheim Rheina,1,1.0
1945-09-03 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0834_output_1945-09-03,Explosive Factory,Mannheim Rheina,1,1.0
1944-07-15 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0830_output_1944-07-15,DYNAMIT A G,HAMBURG KRUMMEL,1,1.0
1944-07-13 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0830_output_1944-07-13,DYNAMIT A G,HAMBURG KRUMMEL,1,1.0
1944-09-03 00:00:00,BOX_1_BOOK_3_EXPLOSIVES_IMG_0841_output_1944-09-03,EXPLOSIVE FACTORY,SCHLEBUSCH,2,1.0
