DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1943-06-25 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3562_output_1943-06-25,AL MN M IND AG MARTINSWERK,COLOGNE,6,18.0
1943-06-23 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3562_output_1943-06-23,AL MN M IND AG MARTINSWERK,COLOGNE,18,16.0
1943-06-19 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3566_output_1943-06-19,ALUMN WKS OF GEBR GIUINI,LUDWIGSHAVEN,18,14.0
1945-06-21 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3564_output_1945-06-21,VEREINIGTE ALUMNM WRKE,GREVENBROICH,6,11.0
1943-06-26 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3566_output_1943-06-26,ALUMN WKS OF GEBR GIUINI,LUDWIGSHAVEN,10,9.0
1943-06-28 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3566_output_1943-06-28,ALUMN WKS OF GEBR GIUINI,LUDWIGSHAVEN,4,9.0
1943-06-26 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3562_output_1943-06-26,AL MN M IND AG MARTINSWERK,COLOGNE,8,7.0
1943-12-13 18:42:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3563_output_1943-12-13,Rath Light Metal Armament Wks,Dusseldorf,5,7.0
1943-07-01 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3562_output_1943-07-01,AL MN M IND AG MARTINSWERK,COLOGNE,9,6.0
1943-11-05 19:55:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3563_output_1943-11-05,Rath Light Metal Armament Wks,Dusseldorf,4,6.0
1943-12-28 18:50:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3563_output_1943-12-28,Rath Light Metal Armament Wks,Dusseldorf,6,6.0
1943-09-12 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3561_output_1943-09-12,Alumnm Wrk of Alumnmwerk,Bitterfeld,4,4.0
1943-07-09 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3566_output_1943-07-09,ALUMN WKS OF GEBR GIUINI,LUDWIGSHAVEN,2,4.0
1943-07-07 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3566_output_1943-07-07,ALUMN WKS OF GEBR GIUINI,LUDWIGSHAVEN,6,3.8
1945-06-23 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3564_output_1945-06-23,VEREINIGTE ALUMNM WRKE,GREVENBROICH,5,3.8
1944-01-20 21:24:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3563_output_1944-01-20,Rath Light Metal Armament Wks,Dusseldorf,3,3.0
1943-06-24 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3566_output_1943-06-24,ALUMN WKS OF GEBR GIUINI,LUDWIGSHAVEN,4,3.0
1943-06-28 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3562_output_1943-06-28,AL MN M IND AG MARTINSWERK,COLOGNE,4,3.0
1943-06-25 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3566_output_1943-06-25,ALUMN WKS OF GEBR GIUINI,LUDWIGSHAVEN,4,3.0
1944-06-25 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3568_output_1944-06-25,ALUMINUM WORKS,RHEINFELDEN,2,2.0
1944-01-23 20:06:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3563_output_1944-01-23,Rath Light Metal Armament Wks,Dusseldorf,3,2.0
1943-12-29 19:33:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3563_output_1943-12-29,Rath Light Metal Armament Wks,Dusseldorf,3,2.0
1945-07-13 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3564_output_1945-07-13,VEREINIGTE ALUMNM WRKE,GREVENBROICH,8,1.9
1943-07-11 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3566_output_1943-07-11,ALUMN WKS OF GEBR GIUINI,LUDWIGSHAVEN,2,1.9
1943-06-21 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3566_output_1943-06-21,ALUMN WKS OF GEBR GIUINI,LUDWIGSHAVEN,9,1.8
1945-10-17 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3564_output_1945-10-17,VEREINIGTE ALUMNM WRKE,GREVENBROICH,5,1.0
1945-10-15 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3564_output_1945-10-15,VEREINIGTE ALUMNM WRKE,GREVENBROICH,2,1.0
1943-12-12 19:14:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3567_output_1943-12-12,Copper Aluminum Castings Works,Osnabruck,1,1.0
1943-12-13 08:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3567_output_1943-12-13,Copper Aluminum Castings Works,Osnabruck,1,1.0
1945-10-11 00:00:00,BOX_4_BOOK_9_LIGHTMETALS_IMG_3564_output_1945-10-11,VEREINIGTE ALUMNM WRKE,GREVENBROICH,1,1.0
