DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-08-05 04:15:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2776_output_1944-08-05,TOWN AREA,TROISSY ST MAXIMIN,367,594.0
1944-07-09 14:32:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2733_output_1944-07-09,TOWN AREA,LINZEUX,8,576.0
1944-08-31 17:53:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2768_output_1944-08-31,TOWN AREA,ROLLENCOURT,27,570.0
1945-04-19 16:10:00,BOX_3_BOOK_6_INDUSTRIAL__PART_4_IMG_2212_output_1945-04-19,TOWN AREA,NORDHAUSEN,233,569.0
1943-06-11 00:00:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1707_output_1943-06-11,,BADEN BADEN,23,562.0
1943-08-26 23:27:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1737_output_1943-08-26,,Berlin,198,558.0
1944-08-08 04:15:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2776_output_1944-08-08,TOWN AREA,TROISSY ST MAXIMIN,350,550.0
1944-07-31 07:24:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2746_output_1944-07-31,,Jurques Area,358,549.45
1944-08-07 22:53:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2749_output_1944-08-07,NAY SUR ORNE,NORMANDY,279,549.0
1944-08-14 14:02:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2756_output_1944-08-14,QUESNAY,NORMANDY,636,544.0
1944-06-29 13:28:00,BOX_2_BOOK_6_INDUSTRIAL__PART_2_IMG_1499_output_1944-06-29,Unidentified Target,Domleger,99,540.0
1944-09-17 18:45:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2700_output_1944-09-17,TOWN AREA,EIKENHORST,135,529.0
1944-08-07 22:51:00,BOX_3_BOOK_6_INDUSTRIAL__PART_5_IMG_2750_output_1944-08-07,LA HUGUE,NORMANDY,297,525.0
