DATETIME,mission_id,target_name,target_location,NUMBER OF AIRCRAFT BOMBING,TOTAL TONS
1944-06-05 03:45:00,BOX_7_BOOK_15_TACTICAL_IMG_7664_output_1944-06-05,MEDIUM COASTAL BTRY,HOULGATE,214,426.7
1944-05-26 06:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7514_output_1944-05-26,Trouville Medium Battery,Trouville,4,412.0
1944-05-24 01:35:00,BOX_7_BOOK_15_TACTICAL_IMG_7514_output_1944-05-24,Trouville Medium Battery,Trouville,8,404.0
1944-06-05 00:25:00,BOX_7_BOOK_15_TACTICAL_IMG_7476_output_1944-06-05,MERVILLE FIELD BATTARY,,140,396.7
1944-05-10 03:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7438_output_1944-05-10,Gun Battery,Dieppe,118,379.0
1941-09-15 15:30:00,BOX_7_BOOK_15_TACTICAL_IMG_7460_output_1941-09-15,Le Havre Defended Locality,Le Havre,330,357.0
1944-08-12 10:47:00,BOX_7_BOOK_15_TACTICAL_IMG_7472_output_1944-08-12,Gun Positions,Marseilles,126,354.0
1944-05-27 04:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7673_output_1944-05-27,Coastal Battery,Morsalines,118,354.0
1944-09-28 08:52:00,BOX_7_BOOK_15_TACTICAL_IMG_7422_output_1944-09-28,,,744,353.4
1944-05-09 23:41:00,BOX_7_BOOK_15_TACTICAL_IMG_7476_output_1944-05-09,MERVILLE FIELD BATTARY,,110,345.0
1944-05-09 00:09:00,BOX_7_BOOK_15_TACTICAL_IMG_7470_output_1944-05-09,Costal Batteries,Mardyck,10,343.0
1944-05-24 23:57:00,BOX_7_BOOK_15_TACTICAL_IMG_7667_output_1944-05-24,LE CLIPPON COASTAL TARGET BATTERY,,304,338.0
1944-05-26 00:01:00,BOX_7_BOOK_15_TACTICAL_IMG_7667_output_1944-05-26,LE CLIPPON COASTAL TARGET BATTERY,,152,338.0
1944-06-03 01:26:00,BOX_7_BOOK_15_TACTICAL_IMG_7421_output_1944-06-03,LAND BATTERIES,CALAIS,761,334.0
1944-05-09 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7654_output_1944-05-09,Heavy Coastal Btry,Berneval Ques,113,332.5
1944-09-12 09:54:00,BOX_7_BOOK_15_TACTICAL_IMG_7427_output_1944-09-12,Gun Positions,Cap Gris Nez,497,330.0
1944-05-27 01:55:00,BOX_7_BOOK_15_TACTICAL_IMG_7476_output_1944-05-27,MERVILLE FIELD BATTARY,,108,324.0
1944-05-24 01:12:00,BOX_7_BOOK_15_TACTICAL_IMG_7413_output_1944-05-24,COSTAL DEFENSES,BOULOGNE,96,311.0
1944-09-23 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7742_output_1944-09-23,DOMBURG GUN EMPLACEMENTS,,195,306.0
1944-06-02 00:30:00,BOX_7_BOOK_15_TACTICAL_IMG_7421_output_1944-06-02,LAND BATTERIES,CALAIS,14,286.0
1944-05-07 23:26:00,BOX_7_BOOK_15_TACTICAL_IMG_7507_output_1944-05-07,MEDIUM GUN BATTERY,ST VALERY EN CAOX,110,282.0
1944-06-04 15:54:00,BOX_7_BOOK_15_TACTICAL_IMG_7421_output_1944-06-04,LAND BATTERIES,CALAIS,74,281.0
1944-05-13 01:02:00,BOX_7_BOOK_15_TACTICAL_IMG_7408_output_1944-05-13,MEDIUM BATTERY,,45,269.0
1944-09-13 09:54:00,BOX_7_BOOK_15_TACTICAL_IMG_7427_output_1944-09-13,Gun Positions,Cap Gris Nez,50,266.0
1944-05-09 03:39:00,BOX_7_BOOK_15_TACTICAL_IMG_7673_output_1944-05-09,Coastal Battery,Morsalines,106,259.0
1944-05-27 01:14:00,BOX_7_BOOK_15_TACTICAL_IMG_7413_output_1944-05-27,COSTAL DEFENSES,BOULOGNE,78,253.0
1944-06-04 18:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7663_output_1944-06-04,,,37,249.0
1944-05-01 04:30:00,BOX_7_BOOK_15_TACTICAL_IMG_7673_output_1944-05-01,Coastal Battery,Morsalines,143,247.5
1944-05-19 01:31:00,BOX_7_BOOK_15_TACTICAL_IMG_7476_output_1944-05-19,MERVILLE FIELD BATTARY,,112,244.0
1944-05-21 01:55:00,BOX_7_BOOK_15_TACTICAL_IMG_7476_output_1944-05-21,MERVILLE FIELD BATTARY,,56,244.0
1941-05-09 23:29:00,BOX_7_BOOK_15_TACTICAL_IMG_7421_output_1941-05-09,LAND BATTERIES,CALAIS,63,243.0
1944-05-09 01:47:00,BOX_7_BOOK_15_TACTICAL_IMG_7507_output_1944-05-09,MEDIUM GUN BATTERY,ST VALERY EN CAOX,100,239.25
1944-06-04 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7492_output_1944-06-04,HVY RAILWAY BATTERY,SANGATTE,52,234.0
1944-05-27 04:14:00,BOX_7_BOOK_15_TACTICAL_IMG_7507_output_1944-05-27,MEDIUM GUN BATTERY,ST VALERY EN CAOX,90,234.0
1944-05-19 01:45:00,BOX_7_BOOK_15_TACTICAL_IMG_7667_output_1944-05-19,LE CLIPPON COASTAL TARGET BATTERY,,158,232.0
1944-05-21 18:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7667_output_1944-05-21,LE CLIPPON COASTAL TARGET BATTERY,,158,232.0
1944-06-04 03:10:00,BOX_7_BOOK_15_TACTICAL_IMG_7413_output_1944-06-04,COSTAL DEFENSES,BOULOGNE,59,231.0
1944-06-04 03:31:00,BOX_7_BOOK_15_TACTICAL_IMG_7669_output_1944-06-04,Battery,Maisy,52,231.0
1944-09-23 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7335_output_1944-09-23,Gun Emplacements,Walcheren Island,521,220.0
1944-05-11 00:49:00,BOX_7_BOOK_15_TACTICAL_IMG_7514_output_1944-05-11,Trouville Medium Battery,Trouville,8,218.65
1944-05-30 04:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7413_output_1944-05-30,COSTAL DEFENSES,BOULOGNE,99,212.0
1944-05-08 03:59:00,BOX_7_BOOK_15_TACTICAL_IMG_7427_output_1944-05-08,Gun Positions,Cap Gris Nez,1,210.0
1944-05-28 00:27:00,BOX_7_BOOK_15_TACTICAL_IMG_7470_output_1944-05-28,Costal Batteries,Mardyck,47,210.0
1944-05-30 00:30:00,BOX_7_BOOK_15_TACTICAL_IMG_7470_output_1944-05-30,Costal Batteries,Mardyck,5,210.0
1944-10-21 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7335_output_1944-10-21,Gun Emplacements,Walcheren Island,61,206.0
1944-09-27 07:22:00,BOX_7_BOOK_15_TACTICAL_IMG_7458_output_1944-09-27,,LE HAVRE DEFENSES,165,195.0
1944-06-06 23:32:00,BOX_7_BOOK_15_TACTICAL_IMG_7662_output_1944-06-06,Medium Battery,Grisbecq,92,195.0
1944-05-27 00:32:00,BOX_7_BOOK_15_TACTICAL_IMG_7667_output_1944-05-27,LE CLIPPON COASTAL TARGET BATTERY,,148,192.0
1944-09-17 06:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7315_output_1944-09-17,Gun Emplacements,Flushing,81,189.0
1944-05-05 04:24:00,BOX_7_BOOK_15_TACTICAL_IMG_7507_output_1944-05-05,MEDIUM GUN BATTERY,ST VALERY EN CAOX,81,187.5
1944-06-03 01:14:00,BOX_7_BOOK_15_TACTICAL_IMG_7519_output_1944-06-03,HEAVY RAILWAY BATTERY,WIMEREUX,197,183.3
1944-05-27 10:30:00,BOX_7_BOOK_15_TACTICAL_IMG_7408_output_1944-05-27,MEDIUM BATTERY,,95,165.0
1944-09-02 07:22:00,BOX_7_BOOK_15_TACTICAL_IMG_7458_output_1944-09-02,,LE HAVRE DEFENSES,165,162.0
1944-05-29 00:00:00,BOX_7_BOOK_15_TACTICAL_IMG_7653_output_1944-05-29,Batteries,Bergnes,14,155.4
1944-05-08 02:55:00,BOX_7_BOOK_15_TACTICAL_IMG_7673_output_1944-05-08,Coastal Battery,Morsalines,84,154.0
1944-09-25 08:12:00,BOX_7_BOOK_15_TACTICAL_IMG_7422_output_1944-09-25,,,265,150.0
1944-06-02 02:11:00,BOX_7_BOOK_15_TACTICAL_IMG_7520_output_1944-06-02,Heavy Coastal Battery,Wissant,54,147.5
