year,month,force_name,mission_category,TOTAL TONS,month_year,monthly_total,pct_of_monthly_total
1940,1,RAF,Total,211.0,1940-01,211.0,100.0
1940,1,RAF,precision,211.0,1940-01,211.0,100.0
1940,2,USAAF,Total,41.0,1940-02,41.0,100.0
1940,2,USAAF,precision,41.0,1940-02,41.0,100.0
1940,5,USAAF,Total,198.0,1940-05,198.0,100.0
1940,5,USAAF,precision,198.0,1940-05,198.0,100.0
1940,6,USAAF,Total,60.0,1940-06,60.0,100.0
1940,6,USAAF,precision,60.0,1940-06,60.0,100.0
1940,7,RAF,Total,1.0,1940-07,1.0,100.0
1940,7,RAF,precision,1.0,1940-07,1.0,100.0
1940,9,RAF,Total,1.23,1940-09,1.225,100.0
1940,9,RAF,area,1.225,1940-09,1.225,100.0
1940,10,USAAF,Total,65.0,1940-10,65.0,100.0
1940,10,USAAF,precision,65.0,1940-10,65.0,100.0
1941,1,RAF,Total,2173.86,1941-01,10171.284,21.37
1941,1,RAF,area,837.505,1941-01,10171.284,8.234014505936518
1941,1,RAF,precision,1336.35,1941-01,10171.284,13.138459215178733
1941,1,USAAF,Total,7997.43,1941-01,10171.284,78.63
1941,1,USAAF,area,5141.379,1941-01,10171.284,50.54798391235561
1941,1,USAAF,precision,2856.05,1941-01,10171.284,28.079542366529147
1941,2,RAF,Total,4144.51,1941-02,5482.1990000000005,75.6
1941,2,RAF,area,930.309,1941-02,5482.1990000000005,16.969632076471502
1941,2,RAF,precision,3214.2,1941-02,5482.1990000000005,58.62975787635582
1941,2,USAAF,Total,1337.69,1941-02,5482.1990000000005,24.4
1941,2,USAAF,area,750.84,1941-02,5482.1990000000005,13.695963973580675
1941,2,USAAF,precision,586.85,1941-02,5482.1990000000005,10.704646073592002
1941,3,RAF,Total,2204.53,1941-03,4509.6225,48.89
1941,3,RAF,area,1393.672,1941-03,4509.6225,30.904404969595568
1941,3,RAF,precision,810.8625,1941-03,4509.6225,17.98071789822762
1941,3,USAAF,Total,2305.09,1941-03,4509.6225,51.11
1941,3,USAAF,area,1313.938,1941-03,4509.6225,29.13631905996566
1941,3,USAAF,precision,991.15,1941-03,4509.6225,21.97855807221114
1941,4,RAF,Total,2350.31,1941-04,2802.294,83.87
1941,4,RAF,area,777.905,1941-04,2802.294,27.759578402551625
1941,4,RAF,precision,1572.4,1941-04,2802.294,56.1111717756952
1941,4,USAAF,Total,451.99,1941-04,2802.294,16.13
1941,4,USAAF,area,177.864,1941-04,2802.294,6.347085637695403
1941,4,USAAF,precision,274.125,1941-04,2802.294,9.782164184057777
1941,5,RAF,Total,5579.84,1941-05,8376.606,66.61
1941,5,RAF,area,2407.03,1941-05,8376.606,28.735146430427793
1941,5,RAF,precision,3172.81,1941-05,8376.606,37.877035161973716
1941,5,USAAF,Total,2796.77,1941-05,8376.606,33.39
1941,5,USAAF,area,1976.156,1941-05,8376.606,23.591368628296472
1941,5,USAAF,precision,820.61,1941-05,8376.606,9.796449779302023
1941,6,RAF,Total,6669.85,1941-06,9318.556,71.58
1941,6,RAF,area,3183.652,1941-06,9318.556,34.16464954441439
1941,6,RAF,precision,3486.2,1941-06,9318.556,37.41137575392582
1941,6,USAAF,Total,2648.7,1941-06,9318.556,28.42
1941,6,USAAF,area,909.354,1941-06,9318.556,9.758529111162717
1941,6,USAAF,precision,1739.35,1941-06,9318.556,18.665445590497065
1941,7,RAF,Total,6213.38,1941-07,9059.081,68.59
1941,7,RAF,area,3584.544,1941-07,9059.081,39.56851693896986
1941,7,RAF,precision,2628.835,1941-07,9059.081,29.018782368763453
1941,7,USAAF,Total,2845.7,1941-07,9059.081,31.41
1941,7,USAAF,area,1146.682,1941-07,9059.081,12.657818160583838
1941,7,USAAF,precision,1699.02,1941-07,9059.081,18.75488253168285
1941,8,RAF,Total,7124.77,1941-08,8968.242400000001,79.44
1941,8,RAF,area,4217.5389000000005,1941-08,8968.242400000001,47.027485563949526
1941,8,RAF,precision,2907.23,1941-08,8968.242400000001,32.41694269994307
1941,8,USAAF,Total,1843.47,1941-08,8968.242400000001,20.56
1941,8,USAAF,area,733.97,1941-08,8968.242400000001,8.18410082225253
1941,8,USAAF,precision,1109.5035,1941-08,8968.242400000001,12.37147091385487
1941,9,RAF,Total,8932.56,1941-09,9531.056,93.72
1941,9,RAF,area,6107.231,1941-09,9531.056,64.07717046253846
1941,9,RAF,precision,2825.325,1941-09,9531.056,29.64335746217418
1941,9,USAAF,Total,598.5,1941-09,9531.056,6.28
1941,9,USAAF,area,255.0,1941-09,9531.056,2.6754642927289485
1941,9,USAAF,precision,343.5,1941-09,9531.056,3.604007782558407
1941,10,RAF,Total,6588.16,1941-10,9104.1195,72.36
1941,10,RAF,area,4282.999,1941-10,9104.1195,47.0446263364623
