target_location,target_name,BOOK,TOTAL_TONS,INCENDIARY_PERCENT,TARGET_SCORE,TONNAGE_SCORE,INCENDIARY_SCORE,AREA_BOMBING_SCORE,AREA_BOMBING_SCORE_NORMALIZED,CATEGORY
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,0.49,48.97959183673469,0,0.3413152871768176,6.2954083720263085,2.0,2.1,AIRFIELDS
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,2.24,10.714285714285712,0,3.1360402568106887,3.4982693602292425,2.0,2.1,AIRFIELDS
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,0.6,0.0,0,0.5375672392850945,0.0,0.2,0.2,AIRFIELDS
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,0.6,0.0,0,0.5375672392850945,0.0,0.2,0.2,AIRFIELDS
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,0.6,0.0,0,0.5375672392850945,0.0,0.2,0.2,AIRFIELDS
AABENRAA,AERODROME,BOOK_10_AIRFIELDS__PART_2,0.3,0.0,0,0.2274856845393024,0.0,0.1,0.1,AIRFIELDS
AACH,UNIDENTIFIED TARGET,BOOK_6_INDUSTRIAL__PART_2,31.114,10.008356366908789,1,6.6295332292208915,3.4490618493176193,7.0,7.2,INDUSTRIAL
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,0.9,0.0,0,0.8322054485511019,0.0,0.2,0.2,AIRFIELDS
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,1.72,41.860465116279066,0,2.212909942738157,5.743893179760942,2.4,2.5,AIRFIELDS
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,1.3199999999999998,54.545454545454554,0,1.9767482214124588,6.726592976888324,2.6,2.7,AIRFIELDS
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4,AIRFIELDS
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,1.72,41.860465116279066,0,2.212909942738157,5.743893179760942,2.4,2.5,AIRFIELDS
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,0.5,0.0,0,0.3597084851639771,0.0,0.1,0.1,AIRFIELDS
AACHEN,780 AERODROME,BOOK_10_AIRFIELDS__PART_2,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4,AIRFIELDS
AACHEN,FACTORY,BOOK_6_INDUSTRIAL__PART_2,1.6,0.0,1,2.1532188096477527,0.0,4.6,4.7,INDUSTRIAL
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,7.72,22.27979274611399,0,5.066979003990976,4.304454590496025,2.8,2.9,TACTICAL
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4,TACTICAL
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,1.24,19.35483870967742,0,1.8655214298108624,4.100567745164039,1.8,1.9,TACTICAL
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,2.15,0.0,0,3.0921395106715255,0.0,0.9,0.9,TACTICAL
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,0.6,0.0,0,0.5375672392850945,0.0,0.2,0.2,TACTICAL
AACHEN,FLAK BATTERY,BOOK_15_TACTICAL,0.84,28.57142857142857,0,0.7641853201457574,4.743019355761154,1.7,1.8,TACTICAL
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,4.0,0.0,0,4.268783619642547,0.0,1.3,1.3,TRANSPORTATION
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,4.0,0.0,0,4.268783619642547,0.0,1.3,1.3,TRANSPORTATION
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,9.0,0.0,0,5.230956099253861,0.0,1.6,1.6,TRANSPORTATION
AACHEN,RAILROAD CENTER,BOOK_11_TRANSPORTATION__PART_3,12.0,0.0,0,5.527676557348603,0.0,1.7,1.8,TRANSPORTATION
