target_location,target_name,BOOK,TOTAL_TONS,INCENDIARY_PERCENT,TARGET_SCORE,TONNAGE_SCORE,INCENDIARY_SCORE,AREA_BOMBING_SCORE,AREA_BOMBING_SCORE_NORMALIZED
LISIEUX,AERODROME,BOOK_10_AIRFIELDS__PART_1,1.17,10.256410256410255,0,1.7983689050841576,3.4663526936771425,1.6,1.6
LISIEUX,AERODROME,BOOK_10_AIRFIELDS__PART_1,1.37,8.759124087591239,0,2.006073225750477,3.3619828643680845,1.6,1.6
LISIEUX,AERODROME,BOOK_10_AIRFIELDS__PART_1,0.5,0.0,0,0.3597084851639771,0.0,0.1,0.1
LISIEUX,AERODROME,BOOK_10_AIRFIELDS__PART_1,1.495,8.026755852842808,0,2.0615998611834114,3.310932404379958,1.6,1.6
LISIEUX,AERODROME,BOOK_10_AIRFIELDS__PART_1,1.0,0.0,0,1.2540343571056742,0.0,0.4,0.4
LISIEUX,AERODROME,BOOK_10_AIRFIELDS__PART_1,0.3,0.0,0,0.22748568453930246,0.0,0.1,0.1
LISIEUX,LONGUE LIGHT COSTAL BATTERY,BOOK_15_TACTICAL,103.75,0.0,0,8.60888426166927,0.0,2.6,2.7
LISIEUX,RAIL ROAD JUNCTION,BOOK_11_TRANSPORTATION__PART_2,441.0,0.0,0,9.725143154606975,0.0,2.9,3.0
LISIEUX,TACTICAL TARGET,BOOK_15_TACTICAL,64.0,0.0,0,7.759326739545376,0.0,2.3,2.4
LISIEUX,TACTICAL TARGET,BOOK_15_TACTICAL,176.0,0.0,0,9.158597952455318,0.0,2.7,2.8
